Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Edge Chromium 120,,,10-01-2024 18:57:34,10-01-2024 18:57:35,"0,266s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-LoginInvalidoDF,Edge Chromium 120,,,10-01-2024 18:57:35,10-01-2024 18:58:10,"35,234s",PASSED
"openBrowser("""")",Edge Chromium 120,,,10-01-2024 18:57:35,10-01-2024 18:57:37,"2,500s",PASSED
navigateToUrl(url),Edge Chromium 120,,,10-01-2024 18:57:37,10-01-2024 18:57:38,"1,026s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_user-name""), USUARIO)",Edge Chromium 120,,,10-01-2024 18:57:38,10-01-2024 18:57:40,"1,739s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_password""), PASSWORD)",Edge Chromium 120,,,10-01-2024 18:57:40,10-01-2024 18:57:41,"0,705s",PASSED
"click(findTestObject(""Page_Swag Labs/input_login-button""))",Edge Chromium 120,,,10-01-2024 18:57:41,10-01-2024 18:57:41,"0,362s",PASSED
"verifyTextPresent(MENSAJE, false, CONTINUE_ON_FAILURE)",Edge Chromium 120,,,10-01-2024 18:57:41,10-01-2024 18:58:05,"23,610s",PASSED
delay(5),Edge Chromium 120,,,10-01-2024 18:58:05,10-01-2024 18:58:10,"5,014s",PASSED
closeBrowser(),Edge Chromium 120,,,10-01-2024 18:58:10,10-01-2024 18:58:10,"0,251s",PASSED
,,,,,,,
Test Cases/TYCS/SauceDemo/TC-SD-LoginInvalidoDF,Edge Chromium 120,,,10-01-2024 18:58:10,10-01-2024 18:58:28,"17,981s",PASSED
"openBrowser("""")",Edge Chromium 120,,,10-01-2024 18:58:10,10-01-2024 18:58:13,"2,499s",PASSED
navigateToUrl(url),Edge Chromium 120,,,10-01-2024 18:58:13,10-01-2024 18:58:14,"1,754s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_user-name""), USUARIO)",Edge Chromium 120,,,10-01-2024 18:58:14,10-01-2024 18:58:16,"1,868s",PASSED
"setText(findTestObject(""Page_Swag Labs/input_password""), PASSWORD)",Edge Chromium 120,,,10-01-2024 18:58:16,10-01-2024 18:58:17,"0,679s",PASSED
"click(findTestObject(""Page_Swag Labs/input_login-button""))",Edge Chromium 120,,,10-01-2024 18:58:17,10-01-2024 18:58:17,"0,348s",PASSED
"verifyTextPresent(MENSAJE, false, CONTINUE_ON_FAILURE)",Edge Chromium 120,,,10-01-2024 18:58:17,10-01-2024 18:58:23,"5,553s",PASSED
delay(5),Edge Chromium 120,,,10-01-2024 18:58:23,10-01-2024 18:58:28,"5,010s",PASSED
closeBrowser(),Edge Chromium 120,,,10-01-2024 18:58:28,10-01-2024 18:58:28,"0,249s",PASSED
